"anio","iso3","pais_nombre","produccion_captura","produccion_acuicola","produccion_total","participacion"
"2022","ABW","Aruba","172","1.5","173.5","0.00000077261013523945"
"2022","AFG","Afganistán","2000","11150","13150","0.0000585580592414915"
"2022","AGO","Angola","469336","2336","471672","0.00210039520293177"
"2022","ALB","Albania","8739.5","8812","17551.5","0.0000781583100210675"
"2022","ARE","Emiratos Árabes Unidos","65510","3524.96","69034.96","0.000307418500183574"
"2022","ARG","Argentina","847754.718","6022.03","853776.748","0.00380193987744425"
"2022","ARM","Armenia","999.999","24000","24999.999","0.000111327104371044"
"2022","ASM","Samoa Americana","1311.094","18","1329.094","0.00000591856769501984"
"2022","ATG","Antigua y Barbuda","3230","20","3250","0.0000144725241471367"
"2022","AUS","Australia","202374.213","125230.531","327604.744","0.00145885155946355"
"2022","AUT","Austria","350","4718.718","5068.718","0.0000225714288153927"
"2022","AZE","Azerbaiyán","1790","466","2256","0.0000100461583002893"
"2022","BDI","Burundi","19935","540","20475","0.000091176902126961"
"2022","BEL","Bélgica","18710","243","18953","0.0000843993077417481"
"2022","BEN","Benin","76105","4550","80655","0.000359163518488403"
"2022","BES","Bonaire","265","0.5","265.5","0.00000118229389571224"
"2022","BFA","Burkina Faso","30044","894","30938","0.000137769523712035"
"2022","BGD","Bangladesh","2027661","2731070","4758731","0.0211910305560701"
"2022","BGR","Bulgaria","5594.378","9510.78","15105.158","0.0000672645427388661"
"2022","BHR","Bahrein","19836.587","56","19892.587","0.0000885833679096976"
"2022","BHS","Bahamas","9345.212","1","9346.212","0.0000416194704166949"
"2022","BIH","Bosnia y Herzegovina","305","3959.9","4264.9","0.000018991959456961"
"2022","BLR","Belarús","356","7164.4","7520.4","0.000033488975568039"
"2022","BLZ","Belice","204764.256","1130","205894.256","0.000916864489758997"
"2022","BOL","Bolivia","52116","21483","73599","0.000327742555293881"
"2022","BRA","Brasil","775267","738881","1514148","0.00674262876687345"
"2022","BRB","Barbados","851.543","5.5","857.043","0.00000381648477311829"
"2022","BRN","Brunei","16060","5020","21080","0.0000938710181605049"
"2022","BTN","Bhután","9","190.879","199.879","0.000000890078047386317"
"2022","BWA","Botswana","3693","171","3864","0.0000172067179398573"
"2022","CAF","Rep. Centroafricana","29000","215","29215","0.000130096859371876"
"2022","CAN","Canadá","735748.878","166463","902211.878","0.00401762559698108"
"2022","CHE","Suiza","1485.92","2500","3985.92","0.0000177496379841708"
"2022","CHL","Chile","2690091.465","1524149","4214240.465","0.018766368274324"
"2022","CHN","China","13179077","75388639","88567716","0.394399510297459"
"2022","CIV","Costa de Marfil","99943.344","6200","106143.344","0.000472665264337795"
"2022","CMR","Camerún","299035","10118","309153","0.00137668438697223"
"2022","COD","Rep. Dem. Congo","274385","5295","279680","0.00124543863183729"
"2022","COG","Congo","64134.185","976.6","65110.785","0.000289943817892777"
"2022","COK","Islas Cook","6461.332","8.5","6469.832","0.0000288107076455131"
"2022","COL","Colombia","522762","204941.99","727703.99","0.00324052725145929"
"2022","CPV","Cabo Verde","7758.94","35","7793.94","0.000034707072261949"
"2022","CRI","Costa Rica","33668.684","16772.41","50441.094","0.000224618446437843"
"2022","CUB","Cuba","14534.5","15389.4","29923.9","0.000133253650869693"
"2022","CYM","Islas Caimán","125","88","213","0.000000948506967181573"
"2022","CYP","Chipre","1300.979","7593.9","8894.879","0.0000396096464964181"
"2022","CZE","Chequia","3381","19259","22640","0.000100817829751131"
"2022","DEU","Alemania","179732","26545","206277","0.000918568881076588"
"2022","DMA","Dominica","290","2.5","292.5","0.0000013025271732423"
"2022","DNK","Dinamarca","458193","37921.2","496114.2","0.00220923838130381"
"2022","DOM","Rep. Dominicana","18010","3750","21760","0.0000968991155205212"
"2022","DZA","Argelia","80790","5208","85998","0.000382956348186295"
"2022","EAZ",,"38650","120621","159271","0.000709247197981109"
"2022","ECU","Ecuador","688326.211","1123048","1811374.211","0.00806620215636866"
"2022","EGY","Egipto","440197","1552430","1992627","0.00887333611499585"
"2022","ERI","Eritrea","1590.564","4","1594.564","0.00000710072799820149"
"2022","ESP","España","809115.477","276070.807","1085186.284","0.00483242606133277"
"2022","EST","Estonia","73938.728","800.819","74739.547","0.000332821507293402"
"2022","ETH","Etiopía","101400","1070","102470","0.000456307553648337"
"2022","FIN","Finlandia","123258","16280.6","139538.6","0.00062137715629466"
"2022","FJI","Fiji","32626.198","211","32837.198","0.000146226812609018"
"2022","FLK","Islas Malvinas","113821","0","113821","0.000506854514138844"
"2022","FRA","Francia","534875.614","200490.311","735365.925","0.00327464649432123"
"2022","FRO","Islas Feroe","606541.1","108745","715286.1","0.00318522933980345"
"2022","FSM","Micronesia","178235.339","0.5","178235.839","0.000793699225788512"
"2022","GAB","Gabón","31010","87","31097","0.000138477564124157"
"2022","GBR","Reino Unido","617409.965","203111.706","820521.671","0.0036538522143989"
"2022","GEO","Georgia","197788.377","2743.2","200531.577","0.000892984027814122"
"2022","GHA","Ghana","519627.27","132682","652309.27","0.00290478820353111"
"2022","GIN","Guinea","334870","1180","336050","0.00149645899681393"
"2022","GLP","Guadalupe","1635","53","1688","0.00000751680638780514"
"2022","GMB","Gambia","53946.5","42","53988.5","0.000240415344590058"
"2022","GNB","Guinea-Bissau","63835","15","63850","0.000284329435936824"
"2022","GNQ","Guinea Ecuatorial","6610.139","15","6625.139","0.000029502302817119"
"2022","GRC","Grecia","65494.798","142007.591","207502.389","0.000924025641658784"
"2022","GRD","Granada","1855.619","26","1881.619","0.00000837900812714189"
"2022","GTM","Guatemala","16256.649","42313.4","58570.049","0.000260817368754301"
"2022","GUF","Guayana Francesa","2300","3","2303","0.0000102554532648787"
"2022","GUM","Guam","351.5","108","459.5","0.00000204619226018748"
"2022","GUY","Guyana","36253.455","953.4","37206.855","0.000165685263823542"
"2022","HKG","Hong Kong","77199.998","3361.2","80561.198","0.000358745810269926"
"2022","HND","Honduras","20193","73193","93386","0.000415855735386002"
"2022","HRV","Croacia","63683.138","27156.05","90839.188","0.000404514566718858"
"2022","HTI","Haití","16710","1685","18395","0.0000819144866727936"
"2022","HUN","Hungría","4597.022","18947.763","23544.785","0.000104846913677428"
"2022","IDN","Indonesia","7401260.409","14633869.095","22035129.504","0.0981242904098227"
"2022","IND","India","5539024.996","10235300","15774324.996","0.0702443998182743"
"2022","IRL","Irlanda","203538.766","44014","247552.766","0.00110237334880784"
"2022","IRN","Irán","811552.11","480624","1292176.11","0.00575416921671635"
"2022","IRQ","Iraq","44550","23000","67550","0.000300805848042795"
"2022","ISL","Islandia","1434872.472","51362","1486234.472","0.00661832747210059"
"2022","ISR","Israel","2055","13840","15895","0.0000707817757903807"
"2022","ITA","Italia","143645.524","132660.9","276306.424","0.00123041581333815"
"2022","JAM","Jamaica","12529.49","945","13474.49","0.0000600030405831851"
"2022","JOR","Jordania","675","2582","3257","0.0000145036957376074"
"2022","JPN","Japón","2969396.199","942560.2","3911956.399","0.0174202718298687"
"2022","KAZ","Kazajstán","42691.9","9438.316","52130.216","0.000232140249186292"
"2022","KEN","Kenia","145801.458","28898","174699.458","0.000777951422891289"
"2022","KGZ","Kirguistán","31","20698.3","20729.3","0.0000923093214779201"
"2022","KHM","Camboya","533450","330600","864050","0.00384768753517952"
"2022","KIR","Kiribati","203294.048","2","203296.048","0.000905294450368448"
"2022","KNA","Saint Kitts y Nevis","670","4","674","0.0000030013788538985"
"2022","KOR","Corea del Sur","1259444.847","2307638.31","3567083.157","0.0158845221921622"
"2022","KWT","Kuwait","1886","464","2350","0.0000104647482294681"
"2022","LAO","Laos","72420","145000","217420","0.000968189600021679"
"2022","LBN","Líbano","2620","938","3558","0.0000158440741278499"
"2022","LBR","Liberia","29338","1375","30713","0.000136767579732618"
"2022","LBY","Libia","32585","10","32595","0.000145148284484898"
"2022","LCA","Santa Lucía","1442.65","209.43","1652.08","0.00000735685159784663"
"2022","LKA","Sri Lanka","332622.722","59080.29","391703.012","0.00174428655374651"
"2022","LSO","Lesotho","79","1836.26","1915.26","0.00000852881433785999"
"2022","LTU","Lituania","106922.147","4859.01","111781.157","0.000497770921193039"
"2022","LVA","Letonia","61508","869.91","62377.91","0.000277774094991667"
"2022","MAR","Marruecos","1590644.216","2310","1592954.216","0.00709355949425944"
"2022","MDA","Moldavia","0","12910","12910","0.0000574893189967798"
"2022","MDG","Madagascar","127190.115","25127.6","152317.715","0.000678283633345902"
"2022","MEX","México","1683375.783","289618.536","1972994.319","0.00878591013042799"
"2022","MHL","Islas Marshall","91636.299","6.34","91642.639","0.000408092401795332"
"2022","MKD","Macedonia del Norte","447","1814.2","2261.2","0.0000100693143389248"
"2022","MLI","Malí","110365.91","8830","119195.91","0.00053078944175844"
"2022","MLT","Malta","2809.271","18050.539","20859.81","0.0000928904935168256"
"2022","MMR","Myanmar","1864730","1197078.002","3061808.002","0.0136344893054896"
"2022","MNE","Montenegro","855","1087","1942","0.00000864788981345828"
"2022","MNP","Islas Marianas","162.475","41","203.475","0.00000090609133871958"
"2022","MOZ","Mozambique","456374.535","5539","461913.535","0.00205693993513131"
"2022","MTQ","Martinica","1544","37","1581","0.00000704032636203787"
"2022","MUS","Mauricio","33284.19","1545.3","34829.49","0.000155098656940755"
"2022","MWI","Malawi","186865.36","7148","194013.36","0.000863957857682191"
"2022","MYS","Malasia","1321605.549","574182.27","1895787.819","0.00844210307333079"
"2022","MYT","Mayotte","1131.143","0","1131.143","0.00000503707519426604"
"2022","NAM","Namibia","421868.909","340","422208.909","0.00188013188635038"
"2022","NCL","Nueva Caledonia","4207.918","1456","5663.918","0.0000252219046222775"
"2022","NER","Níger","47670","500","48170","0.00021450507328233"
"2022","NGA","Nigeria","784124","259106","1043230","0.00464559118954381"
"2022","NIC","Nicaragua","53732.32","31568.5","85300.82","0.000379851746837095"
"2022","NLD","Países Bajos","298629","39430","338059","0.00150540524327904"
"2022","NOR","Noruega","2616120.395","1648468.706","4264589.101","0.0189905749974887"
"2022","NPL","Nepal","21000","87385","108385","0.000482647547596126"
"2022","NRU","Nauru","106750","0.5","106750.5","0.000475368981221204"
"2022","NZL","Nueva Zelandia","346617.586","106152","452769.586","0.0020162211589151"
"2022","OMN","Omán","748355.508","3468","751823.508","0.00334793349966615"
"2022","PAK","Pakistán","500045.257","165475","665520.257","0.00296361784302803"
"2022","PAN","Panamá","188248.947","11847.21","200096.157","0.000891045065825154"
"2022","PER","Perú","5368101.711","140930.63","5509032.341","0.024532185717686"
"2022","PHL","Filipinas","1771247.272","2349252.015","4120499.287","0.0183489309013437"
"2022","PLW","Palau","813.06","10","823.06","0.00000366515560755148"
"2022","PNG","Papúa Nueva Guinea","243196.051","2462","245658.051","0.00109393602308801"
"2022","POL","Polonia","178522.95","46110","224632.95","0.0010003094748054"
"2022","PRI","Puerto Rico","1581.329","11","1592.329","0.00000709077535467261"
"2022","PRK","Corea del Norte","214320","680700","895020","0.00398559955759085"
"2022","PRT","Portugal","159890.582","20968","180858.582","0.000805378521603661"
"2022","PRY","Paraguay","17905","20000","37905","0.000168794162399143"
"2022","PSE","Palestina","4195","727","4922","0.0000219180811852944"
"2022","PYF","Polinesia Francesa","11582.983","1752.489","13335.472","0.0000593839817026046"
"2022","QAT","Qatar","18439","97.845","18536.845","0.0000825461344228399"
"2022","REU","Reunión","2697","65","2762","0.0000122994189828897"
"2022","ROU","Rumania","6256.435","11210.78","17467.215","0.0000777829818063778"
"2022","RUS","Rusia","4997077","348187","5345264","0.0238029114808678"
"2022","RWA","Ruanda","32735","12202","44937","0.000200108251569194"
"2022","SAU","Arabia Saudita","64263.014","119844.7","184107.714","0.000819847180473579"
"2022","SDN","Sudán","44250","9000","53250","0.000237126741795393"
"2022","SEN","Senegal","533771.212","1585.1","535356.312","0.00238398681622832"
"2022","SGP","Singapur","2005.405","4745.21","6750.615","0.0000300610580293917"
"2022","SLB","Islas Salomón","47838.082","11879.3","59717.382","0.000265926539384241"
"2022","SLE","Sierra Leona","215140","145","215285","0.000958682264928098"
"2022","SLV","El Salvador","60114.992","12919","73033.992","0.00032522652700978"
"2022","SPM","San Pedro y Miquelón","2612.2","0","2612.2","0.0000116323469468155"
"2022","SRB","Serbia","2379","5776.47","8155.47","0.0000363169958480765"
"2022","SSD","Sudán del Sur","47000","47","47047","0.00020950425955395"
"2022","SUR","Suriname","33695","45","33740","0.000150247066069043"
"2022","SVK","Eslovaquia","1895","2614","4509","0.0000200789573475198"
"2022","SVN","Eslovenia","272.257","1643.7","1915.957","0.00000853191813765401"
"2022","SWE","Suecia","152028.06","11327.2","163355.26","0.000727434752280551"
"2022","SWZ","Eswatini","65","100","165","0.000000734758918239246"
"2022","SYC","Seychelles","137838.332","0","137838.332","0.000613805719468013"
"2022","SYR","Siria","4430","1755","6185","0.0000275423267230893"
"2022","TCA","Islas Turcas y Caicos","3241","0","3241","0.00001443244638796"
"2022","TCD","Chad","107000","120","107120","0.000477014395889625"
"2022","TGO","Togo","21505.22","1151","22656.22","0.000100890058779336"
"2022","THA","Tailandia","1406934.33","1001181","2408115.33","0.0107235406961585"
"2022","TJK","Tayikistán","2425","2248","4673","0.0000208092631814061"
"2022","TKM","Turkmenistán","15097","175","15272","0.0000680075042384835"
"2022","TLS","Timor-Leste","6706.6","1125","7831.6","0.0000348747754186817"
"2022","TON","Tonga","1326.038","100","1426.038","0.00000635026750453369"
"2022","TTO","Trinidad y Tobago","13069.012","7.4","13076.412","0.0000582303656701255"
"2022","TUN","Túnez","128705.372","20926.057","149631.429","0.000666321375191713"
"2022","TUR","Turquía","335002.9","514823","849825.9","0.00378434641803451"
"2022","TUV","Tuvalu","42781","1","42782","0.000190511854788554"
"2022","TWN","Taiwán","614611.218","264251.862","878863.08","0.00391365142994674"
"2022","TZA","Tanzanía","472925.761","75896.046","548821.807","0.00244394980131775"
"2022","UGA","Uganda","444935","101377","546312","0.00243277341903709"
"2022","UKR","Ucrania","22720.929","14630","37350.929","0.000166326837498612"
"2022","URY","Uruguay","68781.641","91","68872.641","0.000306695679984485"
"2022","USA","Estados Unidos","4797717","478823.932","5276540.932","0.0234968818620692"
"2022","UZB","Uzbekistán","55000","130274","185274","0.000825040750411261"
"2022","VCT","San Vicente y las Granadinas","1585","13","1598","0.00000711602879603828"
"2022","VEN","Venezuela","212118.571","52580","264698.571","0.00117872506477233"
"2022","VGB","Islas Vírgenes Británicas","1134.438","1","1135.438","0.00000505620119156202"
"2022","VIR","Islas Vírgenes de EEUU","385","8","393","0.0000017500621507153"
"2022","VNM","Vietnam","3596414.58","5170374.52","8766789.1","0.0390392513669552"
"2022","VUT","Vanuatu","88117.341","4","88121.341","0.000392411764769405"
"2022","WSM","Samoa","9589.25","14","9603.25","0.0000427640823126124"
"2022","YEM","Yemen","178190","10","178200","0.000793539631698386"
"2022","ZAF","Sudáfrica","582092.53","11355.02","593447.55","0.00264267199921049"
"2022","ZMB","Zambia","129803","75648","205451","0.000914890633401039"
"2022","ZWE","Zimbabwe","85608","8353.01","93961.01","0.0004184163034198"
"2022","AIA","Anguila","840","0","840","0.00000374059085649071"
"2022","AND","Andorra","0","0","0","0"
"2022","ATF","Tierras Australes Francesas","420","0","420","0.00000187029542824535"
"2022","BLM","San Barthélemy","100","0","100","0.000000445308435296513"
"2022","BMU","Bermuda","392","0","392","0.00000174560906636233"
"2022","COM","Comoras","18933.313","0","18933.313","0.0000843116398700913"
"2022","CUW","Curazao","8826.804","0","8826.804","0.00003930650277909"
"2022","DJI","Djibouti","3120.5","0","3120.5","0.0000138958497234277"
"2022","GIB","Gibraltar","1","0","1","0.00000000445308435296513"
"2022","GRL","Groenlandia","371688","0","371688","0.0016551580169849"
"2022","IMN","Isla de Man","3041","0","3041","0.000013541829517367"
"2022","IOT","Territorio Británico del Océano Índico","0","0","0","0"
"2022","LIE","Liechtenstein","0","0","0","0"
"2022","LUX","Luxemburgo","0","0","0","0"
"2022","MAC","Macao","1500","0","1500","0.00000667962652944769"
"2022","MAF","San Martín (parte francesa)","90","0","90","0.000000400777591766862"
"2022","MCO","Mónaco","1","0","1","0.00000000445308435296513"
"2022","MDV","Maldivas","155205.443","0","155205.443","0.000691142929718321"
"2022","MNG","Mongolia","0","0","0","0"
"2022","MRT","Mauritania","780382.798","0","780382.798","0.00347511042709695"
"2022","MSR","Montserrat","30","0","30","0.000000133592530588954"
"2022","NFK","Isla Norfolk","0","0","0","0"
"2022","NIU","Niue","40","0","40","0.000000178123374118605"
"2022","PCN","Pitcairn","3","0","3","0.0000000133592530588954"
"2022","SHN","Santa Elena","494.68","0","494.68","0.00000220285176772479"
"2022","SJM","Islas Svalbard y Jan Mayen","0","0","0","0"
"2022","SMR","San Marino","0","0","0","0"
"2022","SOM","Somalia","30000","0","30000","0.000133592530588954"
"2022","STP","Santo Tomé y Príncipe","5703.38","0","5703.38","0.0000253976322370143"
"2022","SXM","San Martín (parte holandesa)","253","0","253","0.00000112663034130018"
"2022","TKL","Tokelau","38","0","38","0.000000169217205412675"
"2022","WLF","Wallis y Futuna","204.326","0","204.326","0.000000909880913503953"
