anio,iso3,pais_nombre,produccion_captura,produccion_acuicola,produccion_total,participacion,geocodigoFundar,geonombreFundar
2022,ABW,Aruba,172.0,1.5,173.5,7.726101352e-07,ABW,Aruba
2022,AFG,Afganistán,2000.0,11150.0,13150.0,5.85580592414e-05,AFG,Afganistán
2022,AGO,Angola,469336.0,2336.0,471672.0,0.0021003952029317,AGO,Angola
2022,ALB,Albania,8739.5,8812.0,17551.5,7.8158310021e-05,ALB,Albania
2022,ARE,Emiratos Árabes Unidos,65510.0,3524.96,69034.96,0.0003074185001835,ARE,Emiratos Árabes Unidos
2022,ARG,Argentina,847754.718,6022.03,853776.748,0.0038019398774442,ARG,Argentina
2022,ARM,Armenia,999.999,24000.0,24999.999,0.000111327104371,ARM,Armenia
2022,ASM,Samoa Americana,1311.094,18.0,1329.094,5.918567695e-06,ASM,Samoa Americana
2022,ATG,Antigua y Barbuda,3230.0,20.0,3250.0,1.44725241471e-05,ATG,Antigua y Barbuda
2022,AUS,Australia,202374.213,125230.531,327604.744,0.0014588515594635,AUS,Australia
2022,AUT,Austria,350.0,4718.718,5068.718,2.25714288153e-05,AUT,Austria
2022,AZE,Azerbaiyán,1790.0,466.0,2256.0,1.00461583002e-05,AZE,Azerbaiyán
2022,BDI,Burundi,19935.0,540.0,20475.0,9.11769021269e-05,BDI,Burundi
2022,BEL,Bélgica,18710.0,243.0,18953.0,8.43993077417e-05,BEL,Bélgica
2022,BEN,Benin,76105.0,4550.0,80655.0,0.0003591635184884,BEN,Benin
2022,BES,Bonaire,265.0,0.5,265.5,1.1822938957e-06,BES,Bonaire
2022,BFA,Burkina Faso,30044.0,894.0,30938.0,0.000137769523712,BFA,Burkina Faso
2022,BGD,Bangladesh,2027661.0,2731070.0,4758731.0,0.0211910305560701,BGD,Bangladesh
2022,BGR,Bulgaria,5594.378,9510.78,15105.158,6.72645427388e-05,BGR,Bulgaria
2022,BHR,Bahrein,19836.587,56.0,19892.587,8.85833679096e-05,BHR,Bahrein
2022,BHS,Bahamas,9345.212,1.0,9346.212,4.16194704166e-05,BHS,Bahamas
2022,BIH,Bosnia y Herzegovina,305.0,3959.9,4264.9,1.89919594569e-05,BIH,Bosnia y Herzegovina
2022,BLR,Belarús,356.0,7164.4,7520.4,3.3488975568e-05,BLR,Belarús
2022,BLZ,Belice,204764.256,1130.0,205894.256,0.0009168644897589,BLZ,Belice
2022,BOL,Bolivia,52116.0,21483.0,73599.0,0.0003277425552938,BOL,Bolivia
2022,BRA,Brasil,775267.0,738881.0,1514148.0,0.0067426287668734,BRA,Brasil
2022,BRB,Barbados,851.543,5.5,857.043,3.8164847731e-06,BRB,Barbados
2022,BRN,Brunei,16060.0,5020.0,21080.0,9.38710181605e-05,BRN,Brunei
2022,BTN,Bhután,9.0,190.879,199.879,8.900780473e-07,BTN,Bhután
2022,BWA,Botswana,3693.0,171.0,3864.0,1.72067179398e-05,BWA,Botswana
2022,CAF,Rep. Centroafricana,29000.0,215.0,29215.0,0.0001300968593718,CAF,Rep. Centroafricana
2022,CAN,Canadá,735748.878,166463.0,902211.878,0.004017625596981,CAN,Canadá
2022,CHE,Suiza,1485.92,2500.0,3985.92,1.77496379841e-05,CHE,Suiza
2022,CHL,Chile,2690091.465,1524149.0,4214240.465,0.018766368274324,CHL,Chile
2022,CHN,China,13179077.0,75388639.0,88567716.0,0.394399510297459,CHN,China
2022,CIV,Costa de Marfil,99943.344,6200.0,106143.344,0.0004726652643377,CIV,Costa de Marfil
2022,CMR,Camerún,299035.0,10118.0,309153.0,0.0013766843869722,CMR,Camerún
2022,COD,Rep. Dem. Congo,274385.0,5295.0,279680.0,0.0012454386318372,COD,Rep. Dem. Congo
2022,COG,Congo,64134.185,976.6,65110.785,0.0002899438178927,COG,Congo
2022,COK,Islas Cook,6461.332,8.5,6469.832,2.88107076455e-05,COK,Islas Cook
2022,COL,Colombia,522762.0,204941.99,727703.99,0.0032405272514592,COL,Colombia
2022,CPV,Cabo Verde,7758.94,35.0,7793.94,3.47070722619e-05,CPV,Cabo Verde
2022,CRI,Costa Rica,33668.684,16772.41,50441.094,0.0002246184464378,CRI,Costa Rica
2022,CUB,Cuba,14534.5,15389.4,29923.9,0.0001332536508696,CUB,Cuba
2022,CYM,Islas Caimán,125.0,88.0,213.0,9.485069671e-07,CYM,Islas Caimán
2022,CYP,Chipre,1300.979,7593.9,8894.879,3.96096464964e-05,CYP,Chipre
2022,CZE,Chequia,3381.0,19259.0,22640.0,0.0001008178297511,CZE,Chequia
2022,DEU,Alemania,179732.0,26545.0,206277.0,0.0009185688810765,DEU,Alemania
2022,DMA,Dominica,290.0,2.5,292.5,1.3025271732e-06,DMA,Dominica
2022,DNK,Dinamarca,458193.0,37921.2,496114.2,0.0022092383813038,DNK,Dinamarca
2022,DOM,Rep. Dominicana,18010.0,3750.0,21760.0,9.68991155205e-05,DOM,Rep. Dominicana
2022,DZA,Argelia,80790.0,5208.0,85998.0,0.0003829563481862,DZA,Argelia
2022,EAZ,,38650.0,120621.0,159271.0,0.0007092471979811,,
2022,ECU,Ecuador,688326.211,1123048.0,1811374.211,0.0080662021563686,ECU,Ecuador
2022,EGY,Egipto,440197.0,1552430.0,1992627.0,0.0088733361149958,EGY,Egipto
2022,ERI,Eritrea,1590.564,4.0,1594.564,7.1007279982e-06,ERI,Eritrea
2022,ESP,España,809115.477,276070.807,1085186.284,0.0048324260613327,ESP,España
2022,EST,Estonia,73938.728,800.819,74739.547,0.0003328215072934,EST,Estonia
2022,ETH,Etiopía,101400.0,1070.0,102470.0,0.0004563075536483,ETH,Etiopía
2022,FIN,Finlandia,123258.0,16280.6,139538.6,0.0006213771562946,FIN,Finlandia
2022,FJI,Fiji,32626.198,211.0,32837.198,0.000146226812609,FJI,Fiji
2022,FLK,Islas Malvinas,113821.0,0.0,113821.0,0.0005068545141388,FLK,Islas Malvinas
2022,FRA,Francia,534875.614,200490.311,735365.925,0.0032746464943212,FRA,Francia
2022,FRO,Islas Feroe,606541.1,108745.0,715286.1,0.0031852293398034,FRO,Islas Feroe
2022,FSM,Micronesia,178235.339,0.5,178235.839,0.0007936992257885,FSM,Micronesia
2022,GAB,Gabón,31010.0,87.0,31097.0,0.0001384775641241,GAB,Gabón
2022,GBR,Reino Unido,617409.965,203111.706,820521.671,0.0036538522143989,GBR,Reino Unido
2022,GEO,Georgia,197788.377,2743.2,200531.577,0.0008929840278141,GEO,Georgia
2022,GHA,Ghana,519627.27,132682.0,652309.27,0.0029047882035311,GHA,Ghana
2022,GIN,Guinea,334870.0,1180.0,336050.0,0.0014964589968139,GIN,Guinea
2022,GLP,Guadalupe,1635.0,53.0,1688.0,7.5168063878e-06,GLP,Guadalupe
2022,GMB,Gambia,53946.5,42.0,53988.5,0.00024041534459,GMB,Gambia
2022,GNB,Guinea-Bissau,63835.0,15.0,63850.0,0.0002843294359368,GNB,Guinea-Bissau
2022,GNQ,Guinea Ecuatorial,6610.139,15.0,6625.139,2.95023028171e-05,GNQ,Guinea Ecuatorial
2022,GRC,Grecia,65494.798,142007.591,207502.389,0.0009240256416587,GRC,Grecia
2022,GRD,Granada,1855.619,26.0,1881.619,8.3790081271e-06,GRD,Granada
2022,GTM,Guatemala,16256.649,42313.4,58570.049,0.0002608173687543,GTM,Guatemala
2022,GUF,Guayana Francesa,2300.0,3.0,2303.0,1.02554532648e-05,GUF,Guayana Francesa
2022,GUM,Guam,351.5,108.0,459.5,2.0461922601e-06,GUM,Guam
2022,GUY,Guyana,36253.455,953.4,37206.855,0.0001656852638235,GUY,Guyana
2022,HKG,Hong Kong,77199.998,3361.2,80561.198,0.0003587458102699,HKG,Hong Kong
2022,HND,Honduras,20193.0,73193.0,93386.0,0.000415855735386,HND,Honduras
2022,HRV,Croacia,63683.138,27156.05,90839.188,0.0004045145667188,HRV,Croacia
2022,HTI,Haití,16710.0,1685.0,18395.0,8.19144866727e-05,HTI,Haití
2022,HUN,Hungría,4597.022,18947.763,23544.785,0.0001048469136774,HUN,Hungría
2022,IDN,Indonesia,7401260.409,14633869.095,22035129.504,0.0981242904098227,IDN,Indonesia
2022,IND,India,5539024.996,10235300.0,15774324.996,0.0702443998182743,IND,India
2022,IRL,Irlanda,203538.766,44014.0,247552.766,0.0011023733488078,IRL,Irlanda
2022,IRN,Irán,811552.11,480624.0,1292176.11,0.0057541692167163,IRN,Irán
2022,IRQ,Iraq,44550.0,23000.0,67550.0,0.0003008058480427,IRQ,Iraq
2022,ISL,Islandia,1434872.472,51362.0,1486234.472,0.0066183274721005,ISL,Islandia
2022,ISR,Israel,2055.0,13840.0,15895.0,7.07817757903e-05,ISR,Israel
2022,ITA,Italia,143645.524,132660.9,276306.424,0.0012304158133381,ITA,Italia
2022,JAM,Jamaica,12529.49,945.0,13474.49,6.00030405831e-05,JAM,Jamaica
2022,JOR,Jordania,675.0,2582.0,3257.0,1.45036957376e-05,JOR,Jordania
2022,JPN,Japón,2969396.199,942560.2,3911956.399,0.0174202718298687,JPN,Japón
2022,KAZ,Kazajstán,42691.9,9438.316,52130.216,0.0002321402491862,KAZ,Kazajstán
2022,KEN,Kenia,145801.458,28898.0,174699.458,0.0007779514228912,KEN,Kenia
2022,KGZ,Kirguistán,31.0,20698.3,20729.3,9.23093214779e-05,KGZ,Kirguistán
2022,KHM,Camboya,533450.0,330600.0,864050.0,0.0038476875351795,KHM,Camboya
2022,KIR,Kiribati,203294.048,2.0,203296.048,0.0009052944503684,KIR,Kiribati
2022,KNA,Saint Kitts y Nevis,670.0,4.0,674.0,3.0013788538e-06,KNA,Saint Kitts y Nevis
2022,KOR,Corea del Sur,1259444.847,2307638.31,3567083.157,0.0158845221921622,KOR,Corea del Sur
2022,KWT,Kuwait,1886.0,464.0,2350.0,1.04647482294e-05,KWT,Kuwait
2022,LAO,Laos,72420.0,145000.0,217420.0,0.0009681896000216,LAO,Laos
2022,LBN,Líbano,2620.0,938.0,3558.0,1.58440741278e-05,LBN,Líbano
2022,LBR,Liberia,29338.0,1375.0,30713.0,0.0001367675797326,LBR,Liberia
2022,LBY,Libia,32585.0,10.0,32595.0,0.0001451482844848,LBY,Libia
2022,LCA,Santa Lucía,1442.65,209.43,1652.08,7.3568515978e-06,LCA,Santa Lucía
2022,LKA,Sri Lanka,332622.722,59080.29,391703.012,0.0017442865537465,LKA,Sri Lanka
2022,LSO,Lesotho,79.0,1836.26,1915.26,8.5288143378e-06,LSO,Lesotho
2022,LTU,Lituania,106922.147,4859.01,111781.157,0.000497770921193,LTU,Lituania
2022,LVA,Letonia,61508.0,869.91,62377.91,0.0002777740949916,LVA,Letonia
2022,MAR,Marruecos,1590644.216,2310.0,1592954.216,0.0070935594942594,MAR,Marruecos
2022,MDA,Moldavia,0.0,12910.0,12910.0,5.74893189967e-05,MDA,Moldavia
2022,MDG,Madagascar,127190.115,25127.6,152317.715,0.0006782836333459,MDG,Madagascar
2022,MEX,México,1683375.783,289618.536,1972994.319,0.0087859101304279,MEX,México
2022,MHL,Islas Marshall,91636.299,6.34,91642.639,0.0004080924017953,MHL,Islas Marshall
2022,MKD,Macedonia del Norte,447.0,1814.2,2261.2,1.00693143389e-05,MKD,Macedonia del Norte
2022,MLI,Malí,110365.91,8830.0,119195.91,0.0005307894417584,MLI,Malí
2022,MLT,Malta,2809.271,18050.539,20859.81,9.28904935168e-05,MLT,Malta
2022,MMR,Myanmar,1864730.0,1197078.002,3061808.002,0.0136344893054896,MMR,Myanmar
2022,MNE,Montenegro,855.0,1087.0,1942.0,8.6478898134e-06,MNE,Montenegro
2022,MNP,Islas Marianas,162.475,41.0,203.475,9.060913387e-07,MNP,Islas Marianas
2022,MOZ,Mozambique,456374.535,5539.0,461913.535,0.0020569399351313,MOZ,Mozambique
2022,MTQ,Martinica,1544.0,37.0,1581.0,7.040326362e-06,MTQ,Martinica
2022,MUS,Mauricio,33284.19,1545.3,34829.49,0.0001550986569407,MUS,Mauricio
2022,MWI,Malawi,186865.36,7148.0,194013.36,0.0008639578576821,MWI,Malawi
2022,MYS,Malasia,1321605.549,574182.27,1895787.819,0.0084421030733307,MYS,Malasia
2022,MYT,Mayotte,1131.143,0.0,1131.143,5.0370751942e-06,MYT,Mayotte
2022,NAM,Namibia,421868.909,340.0,422208.909,0.0018801318863503,NAM,Namibia
2022,NCL,Nueva Caledonia,4207.918,1456.0,5663.918,2.52219046222e-05,NCL,Nueva Caledonia
2022,NER,Níger,47670.0,500.0,48170.0,0.0002145050732823,NER,Níger
2022,NGA,Nigeria,784124.0,259106.0,1043230.0,0.0046455911895438,NGA,Nigeria
2022,NIC,Nicaragua,53732.32,31568.5,85300.82,0.000379851746837,NIC,Nicaragua
2022,NLD,Países Bajos,298629.0,39430.0,338059.0,0.001505405243279,NLD,Países Bajos
2022,NOR,Noruega,2616120.395,1648468.706,4264589.101,0.0189905749974887,NOR,Noruega
2022,NPL,Nepal,21000.0,87385.0,108385.0,0.0004826475475961,NPL,Nepal
2022,NRU,Nauru,106750.0,0.5,106750.5,0.0004753689812212,NRU,Nauru
2022,NZL,Nueva Zelandia,346617.586,106152.0,452769.586,0.0020162211589151,NZL,Nueva Zelanda
2022,OMN,Omán,748355.508,3468.0,751823.508,0.0033479334996661,OMN,Omán
2022,PAK,Pakistán,500045.257,165475.0,665520.257,0.002963617843028,PAK,Pakistán
2022,PAN,Panamá,188248.947,11847.21,200096.157,0.0008910450658251,PAN,Panamá
2022,PER,Perú,5368101.711,140930.63,5509032.341,0.024532185717686,PER,Perú
2022,PHL,Filipinas,1771247.272,2349252.015,4120499.287,0.0183489309013437,PHL,Filipinas
2022,PLW,Palau,813.06,10.0,823.06,3.6651556075e-06,PLW,Palau
2022,PNG,Papúa Nueva Guinea,243196.051,2462.0,245658.051,0.001093936023088,PNG,Papúa Nueva Guinea
2022,POL,Polonia,178522.95,46110.0,224632.95,0.0010003094748054,POL,Polonia
2022,PRI,Puerto Rico,1581.329,11.0,1592.329,7.0907753546e-06,PRI,Puerto Rico
2022,PRK,Corea del Norte,214320.0,680700.0,895020.0,0.0039855995575908,PRK,Corea del Norte
2022,PRT,Portugal,159890.582,20968.0,180858.582,0.0008053785216036,PRT,Portugal
2022,PRY,Paraguay,17905.0,20000.0,37905.0,0.0001687941623991,PRY,Paraguay
2022,PSE,Palestina,4195.0,727.0,4922.0,2.19180811852e-05,PSE,Palestina
2022,PYF,Polinesia Francesa,11582.983,1752.489,13335.472,5.93839817026e-05,PYF,Polinesia Francesa
2022,QAT,Qatar,18439.0,97.845,18536.845,8.25461344228e-05,QAT,Qatar
2022,REU,Reunión,2697.0,65.0,2762.0,1.22994189828e-05,REU,Reunión
2022,ROU,Rumania,6256.435,11210.78,17467.215,7.77829818063e-05,ROU,Rumania
2022,RUS,Rusia,4997077.0,348187.0,5345264.0,0.0238029114808678,RUS,Rusia
2022,RWA,Ruanda,32735.0,12202.0,44937.0,0.0002001082515691,RWA,Ruanda
2022,SAU,Arabia Saudita,64263.014,119844.7,184107.714,0.0008198471804735,SAU,Arabia Saudita
2022,SDN,Sudán,44250.0,9000.0,53250.0,0.0002371267417953,SDN,Sudán
2022,SEN,Senegal,533771.212,1585.1,535356.312,0.0023839868162283,SEN,Senegal
2022,SGP,Singapur,2005.405,4745.21,6750.615,3.00610580293e-05,SGP,Singapur
2022,SLB,Islas Salomón,47838.082,11879.3,59717.382,0.0002659265393842,SLB,Islas Salomón
2022,SLE,Sierra Leona,215140.0,145.0,215285.0,0.000958682264928,SLE,Sierra Leona
2022,SLV,El Salvador,60114.992,12919.0,73033.992,0.0003252265270097,SLV,El Salvador
2022,SPM,San Pedro y Miquelón,2612.2,0.0,2612.2,1.16323469468e-05,SPM,San Pedro y Miquelón
2022,SRB,Serbia,2379.0,5776.47,8155.47,3.6316995848e-05,SRB,Serbia
2022,SSD,Sudán del Sur,47000.0,47.0,47047.0,0.0002095042595539,SSD,Sudán del Sur
2022,SUR,Suriname,33695.0,45.0,33740.0,0.000150247066069,SUR,Suriname
2022,SVK,Eslovaquia,1895.0,2614.0,4509.0,2.00789573475e-05,SVK,Eslovaquia
2022,SVN,Eslovenia,272.257,1643.7,1915.957,8.5319181376e-06,SVN,Eslovenia
2022,SWE,Suecia,152028.06,11327.2,163355.26,0.0007274347522805,SWE,Suecia
2022,SWZ,Eswatini,65.0,100.0,165.0,7.347589182e-07,SWZ,Eswatini
2022,SYC,Seychelles,137838.332,0.0,137838.332,0.000613805719468,SYC,Seychelles
2022,SYR,Siria,4430.0,1755.0,6185.0,2.7542326723e-05,SYR,Siria
2022,TCA,Islas Turcas y Caicos,3241.0,0.0,3241.0,1.44324463879e-05,TCA,Islas Turcas y Caicos
2022,TCD,Chad,107000.0,120.0,107120.0,0.0004770143958896,TCD,Chad
2022,TGO,Togo,21505.22,1151.0,22656.22,0.0001008900587793,TGO,Togo
2022,THA,Tailandia,1406934.33,1001181.0,2408115.33,0.0107235406961585,THA,Tailandia
2022,TJK,Tayikistán,2425.0,2248.0,4673.0,2.08092631814e-05,TJK,Tayikistán
2022,TKM,Turkmenistán,15097.0,175.0,15272.0,6.80075042384e-05,TKM,Turkmenistán
2022,TLS,Timor-Leste,6706.6,1125.0,7831.6,3.48747754186e-05,TLS,Timor-Leste
2022,TON,Tonga,1326.038,100.0,1426.038,6.3502675045e-06,TON,Tonga
2022,TTO,Trinidad y Tobago,13069.012,7.4,13076.412,5.82303656701e-05,TTO,Trinidad y Tobago
2022,TUN,Túnez,128705.372,20926.057,149631.429,0.0006663213751917,TUN,Túnez
2022,TUR,Turquía,335002.9,514823.0,849825.9,0.0037843464180345,TUR,Turquía
2022,TUV,Tuvalu,42781.0,1.0,42782.0,0.0001905118547885,TUV,Tuvalu
2022,TWN,Taiwán,614611.218,264251.862,878863.08,0.0039136514299467,TWN,Taiwán
2022,TZA,Tanzanía,472925.761,75896.046,548821.807,0.0024439498013177,TZA,Tanzanía
2022,UGA,Uganda,444935.0,101377.0,546312.0,0.002432773419037,UGA,Uganda
2022,UKR,Ucrania,22720.929,14630.0,37350.929,0.0001663268374986,UKR,Ucrania
2022,URY,Uruguay,68781.641,91.0,68872.641,0.0003066956799844,URY,Uruguay
2022,USA,Estados Unidos,4797717.0,478823.932,5276540.932,0.0234968818620692,USA,Estados Unidos
2022,UZB,Uzbekistán,55000.0,130274.0,185274.0,0.0008250407504112,UZB,Uzbekistán
2022,VCT,San Vicente y las Granadinas,1585.0,13.0,1598.0,7.116028796e-06,VCT,San Vicente y las Granadinas
2022,VEN,Venezuela,212118.571,52580.0,264698.571,0.0011787250647723,VEN,Venezuela
2022,VGB,Islas Vírgenes Británicas,1134.438,1.0,1135.438,5.0562011915e-06,VGB,Islas Vírgenes Británicas
2022,VIR,Islas Vírgenes de EEUU,385.0,8.0,393.0,1.7500621507e-06,VIR,Islas Vírgenes de EEUU
2022,VNM,Vietnam,3596414.58,5170374.52,8766789.1,0.0390392513669552,VNM,Vietnam
2022,VUT,Vanuatu,88117.341,4.0,88121.341,0.0003924117647694,VUT,Vanuatu
2022,WSM,Samoa,9589.25,14.0,9603.25,4.27640823126e-05,WSM,Samoa
2022,YEM,Yemen,178190.0,10.0,178200.0,0.0007935396316983,YEM,Yemen
2022,ZAF,Sudáfrica,582092.53,11355.02,593447.55,0.0026426719992104,ZAF,Sudáfrica
2022,ZMB,Zambia,129803.0,75648.0,205451.0,0.000914890633401,ZMB,Zambia
2022,ZWE,Zimbabwe,85608.0,8353.01,93961.01,0.0004184163034198,ZWE,Zimbabwe
2022,AIA,Anguila,840.0,0.0,840.0,3.7405908564e-06,AIA,Anguila
2022,AND,Andorra,0.0,0.0,0.0,0.0,AND,Andorra
2022,ATF,Tierras Australes Francesas,420.0,0.0,420.0,1.8702954282e-06,ATF,Tierras Australes Francesas
2022,BLM,San Barthélemy,100.0,0.0,100.0,4.453084352e-07,BLM,San Barthélemy
2022,BMU,Bermuda,392.0,0.0,392.0,1.7456090663e-06,BMU,Bermuda
2022,COM,Comoras,18933.313,0.0,18933.313,8.431163987e-05,COM,Comoras
2022,CUW,Curazao,8826.804,0.0,8826.804,3.9306502779e-05,CUW,Curazao
2022,DJI,Djibouti,3120.5,0.0,3120.5,1.38958497234e-05,DJI,Djibouti
2022,GIB,Gibraltar,1.0,0.0,1.0,4.4530843e-09,GIB,Gibraltar
2022,GRL,Groenlandia,371688.0,0.0,371688.0,0.0016551580169849,GRL,Groenlandia
2022,IMN,Isla de Man,3041.0,0.0,3041.0,1.35418295173e-05,IMN,Isla de Man
2022,IOT,Territorio Británico del Océano Índico,0.0,0.0,0.0,0.0,IOT,Territorio Británico del Océano Índico
2022,LIE,Liechtenstein,0.0,0.0,0.0,0.0,LIE,Liechtenstein
2022,LUX,Luxemburgo,0.0,0.0,0.0,0.0,LUX,Luxemburgo
2022,MAC,Macao,1500.0,0.0,1500.0,6.6796265294e-06,MAC,Macao
2022,MAF,San Martín (parte francesa),90.0,0.0,90.0,4.007775917e-07,MAF,San Martín (parte francesa)
2022,MCO,Mónaco,1.0,0.0,1.0,4.4530843e-09,MCO,Mónaco
2022,MDV,Maldivas,155205.443,0.0,155205.443,0.0006911429297183,MDV,Maldivas
2022,MNG,Mongolia,0.0,0.0,0.0,0.0,MNG,Mongolia
2022,MRT,Mauritania,780382.798,0.0,780382.798,0.0034751104270969,MRT,Mauritania
2022,MSR,Montserrat,30.0,0.0,30.0,1.335925305e-07,MSR,Montserrat
2022,NFK,Isla Norfolk,0.0,0.0,0.0,0.0,NFK,Isla Norfolk
2022,NIU,Niue,40.0,0.0,40.0,1.781233741e-07,NIU,Niue
2022,PCN,Pitcairn,3.0,0.0,3.0,1.3359253e-08,PCN,Pitcairn
2022,SHN,Santa Elena,494.68,0.0,494.68,2.2028517677e-06,SHN,Santa Elena
2022,SJM,Islas Svalbard y Jan Mayen,0.0,0.0,0.0,0.0,SJM,Islas Svalbard y Jan Mayen
2022,SMR,San Marino,0.0,0.0,0.0,0.0,SMR,San Marino
2022,SOM,Somalia,30000.0,0.0,30000.0,0.0001335925305889,SOM,Somalia
2022,STP,Santo Tomé y Príncipe,5703.38,0.0,5703.38,2.5397632237e-05,STP,Santo Tomé y Príncipe
2022,SXM,San Martín (parte holandesa),253.0,0.0,253.0,1.1266303413e-06,SXM,San Martín (parte holandesa)
2022,TKL,Tokelau,38.0,0.0,38.0,1.692172054e-07,TKL,Tokelau
2022,WLF,Wallis y Futuna,204.326,0.0,204.326,9.098809135e-07,WLF,Wallis y Futuna
